name,nodes,edges,terminals,nodes',edges',terminals',time,result
i320-001,320,480,8,161,314,8,0.006,2672
i320-002,320,480,8,155,313,8,0.008,2847
i320-003,320,480,8,170,327,8,0.007,2972
i320-004,320,480,8,151,303,8,0.013,2905
i320-005,320,480,8,156,310,8,0.008,2991
i320-011,320,1845,8,320,1845,8,0.029,2053
i320-012,320,1845,8,320,1845,8,0.028,1997
i320-013,320,1845,8,320,1845,8,0.029,2072
i320-014,320,1845,8,320,1845,8,0.028,2061
i320-015,320,1845,8,320,1845,8,0.030,2059
i320-021,320,51040,8,320,51032,8,0.105,1553
i320-022,320,51040,8,320,51028,8,0.131,1565
i320-023,320,51040,8,320,51026,8,0.129,1549
i320-024,320,51040,8,320,51026,8,0.130,1553
i320-025,320,51040,8,320,51032,8,0.106,1550
i320-031,320,640,8,237,553,8,0.017,2673
i320-032,320,640,8,251,567,8,0.019,2770
i320-033,320,640,8,237,554,8,0.016,2769
i320-034,320,640,8,232,546,8,0.017,2521
i320-035,320,640,8,238,554,8,0.018,2385
i320-041,320,10208,8,320,10208,8,0.037,1707
i320-042,320,10208,8,320,10208,8,0.039,1682
i320-043,320,10208,8,320,10207,8,0.041,1723
i320-044,320,10208,8,320,10208,8,0.042,1681
i320-045,320,10208,8,320,10208,8,0.040,1686
i320-101,320,480,17,150,300,16,2.709,5548
i320-102,320,480,17,159,311,14,0.244,5556
i320-103,320,480,17,160,311,17,4.533,6239
i320-104,320,480,17,154,304,17,8.168,5703
i320-105,320,480,17,161,313,16,5.566,5928
i320-111,320,1845,17,320,1845,17,over 30s,n/a
i320-112,320,1845,17,320,1845,17,over 30s,n/a
i320-113,320,1845,17,320,1845,17,over 30s,n/a
i320-114,320,1845,17,320,1845,17,over 30s,n/a
i320-115,320,1845,17,320,1845,17,over 30s,n/a
i320-121,320,51040,17,320,50948,17,over 30s,n/a
i320-122,320,51040,17,320,50946,17,over 30s,n/a
i320-123,320,51040,17,320,50947,17,over 30s,n/a
i320-124,320,51040,17,320,50957,17,over 30s,n/a
i320-125,320,51040,17,320,50966,17,over 30s,n/a
i320-131,320,640,17,253,569,17,over 30s,n/a
i320-132,320,640,17,249,563,15,4.470,5052
i320-133,320,640,17,243,559,16,7.962,5125
i320-134,320,640,17,244,562,17,over 30s,n/a
i320-135,320,640,17,256,574,17,over 30s,n/a
i320-141,320,10208,17,320,10202,17,over 30s,n/a
i320-142,320,10208,17,320,10204,17,over 30s,n/a
i320-143,320,10208,17,320,10206,17,over 30s,n/a
i320-144,320,10208,17,320,10202,17,over 30s,n/a
i320-145,320,10208,17,320,10205,17,over 30s,n/a
